State,State Code,Year,Year Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
Connecticut,9,2013,2013,56,3596003,1.6,1.2,2,0.2,0.10%
Connecticut,9,2014,2014,59,3591873,1.6,1.3,2.1,0.2,0.10%
Connecticut,9,2015,2015,75,3584730,2.1,1.6,2.6,0.2,0.10%
Connecticut,9,2016,2016,86,3576452,2.4,1.9,3,0.3,0.10%
Delaware,10,1999,1999,14,774990,1.8 (Unreliable),1,3,0.5,0.00%
Delaware,10,2000,2000,16,783600,2.0 (Unreliable),1.2,3.3,0.5,0.00%
Delaware,10,2001,2001,24,795699,3,1.9,4.5,0.6,0.00%
Delaware,10,2002,2002,18,806169,2.2 (Unreliable),1.3,3.5,0.5,0.00%
Delaware,10,2003,2003,16,818003,2.0 (Unreliable),1.1,3.2,0.5,0.00%
Delaware,10,2004,2004,13,830803,1.6 (Unreliable),0.8,2.7,0.4,0.00%
Delaware,10,2005,2005,20,845150,2.4,1.4,3.7,0.5,0.00%
Delaware,10,2006,2006,16,859268,1.9 (Unreliable),1.1,3,0.5,0.00%
Delaware,10,2007,2007,19,871749,2.2 (Unreliable),1.3,3.4,0.5,0.00%
Delaware,10,2008,2008,18,883874,2.0 (Unreliable),1.2,3.2,0.5,0.00%
Delaware,10,2009,2009,15,891730,1.7 (Unreliable),0.9,2.8,0.4,0.00%
Delaware,10,2010,2010,24,897934,2.7,1.7,4,0.5,0.00%
Delaware,10,2011,2011,29,907924,3.2,2.1,4.6,0.6,0.00%
Delaware,10,2012,2012,27,916993,2.9,1.9,4.3,0.6,0.00%
Delaware,10,2013,2013,28,925395,3,2,4.4,0.6,0.00%
Delaware,10,2014,2014,26,934948,2.8,1.8,4.1,0.5,0.00%
Delaware,10,2015,2015,21,944076,2.2,1.4,3.4,0.5,0.00%
Delaware,10,2016,2016,24,952065,2.5,1.6,3.8,0.5,0.00%
District of Columbia,11,1999,1999,Suppressed,570213,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
District of Columbia,11,2000,2000,11,572059,1.9 (Unreliable),1,3.4,0.6,0.00%
District of Columbia,11,2001,2001,18,574504,3.1 (Unreliable),1.9,5,0.7,0.00%
District of Columbia,11,2002,2002,Suppressed,573158,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
District of Columbia,11,2003,2003,11,568502,1.9 (Unreliable),1,3.5,0.6,0.00%
District of Columbia,11,2004,2004,23,567754,4.1,2.6,6.1,0.8,0.00%
District of Columbia,11,2005,2005,Suppressed,567136,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
District of Columbia,11,2006,2006,10,570681,1.8 (Unreliable),0.8,3.2,0.6,0.00%
District of Columbia,11,2007,2007,13,574404,2.3 (Unreliable),1.2,3.9,0.6,0.00%
District of Columbia,11,2008,2008,14,580236,2.4 (Unreliable),1.3,4,0.6,0.00%
District of Columbia,11,2009,2009,11,592228,1.9 (Unreliable),0.9,3.3,0.6,0.00%
District of Columbia,11,2010,2010,14,601723,2.3 (Unreliable),1.3,3.9,0.6,0.00%
District of Columbia,11,2011,2011,16,620477,2.6 (Unreliable),1.5,4.2,0.6,0.00%
District of Columbia,11,2012,2012,21,635327,3.3,2,5.1,0.7,0.00%
District of Columbia,11,2013,2013,22,649165,3.4,2.1,5.1,0.7,0.00%
District of Columbia,11,2014,2014,20,659005,3,1.9,4.7,0.7,0.00%
District of Columbia,11,2015,2015,12,670377,1.8 (Unreliable),0.9,3.1,0.5,0.00%
District of Columbia,11,2016,2016,15,681170,2.2 (Unreliable),1.2,3.6,0.6,0.00%
Florida,12,1999,1999,187,15759421,1.2,1,1.4,0.1,0.20%
Florida,12,2000,2000,209,15982378,1.3,1.1,1.5,0.1,0.20%
Florida,12,2001,2001,198,16356966,1.2,1,1.4,0.1,0.20%
Florida,12,2002,2002,209,16689370,1.3,1.1,1.4,0.1,0.20%
Florida,12,2003,2003,272,17004085,1.6,1.4,1.8,0.1,0.30%
Florida,12,2004,2004,308,17415318,1.8,1.6,2,0.1,0.30%
Florida,12,2005,2005,333,17842038,1.9,1.7,2.1,0.1,0.40%
Florida,12,2006,2006,312,18166990,1.7,1.5,1.9,0.1,0.30%
Florida,12,2007,2007,348,18367842,1.9,1.7,2.1,0.1,0.40%
Florida,12,2008,2008,339,18527305,1.8,1.6,2,0.1,0.40%
Florida,12,2009,2009,360,18652644,1.9,1.7,2.1,0.1,0.40%
Florida,12,2010,2010,364,18801310,1.9,1.7,2.1,0.1,0.40%
Florida,12,2011,2011,398,19096952,2.1,1.9,2.3,0.1,0.40%
Florida,12,2012,2012,432,19344156,2.2,2,2.4,0.1,0.50%
Florida,12,2013,2013,416,19582022,2.1,1.9,2.3,0.1,0.50%
Florida,12,2014,2014,441,19888741,2.2,2,2.4,0.1,0.50%
Florida,12,2015,2015,512,20244914,2.5,2.3,2.7,0.1,0.60%
Florida,12,2016,2016,556,20612439,2.7,2.5,2.9,0.1,0.60%
Georgia,13,1999,1999,75,8045965,0.9,0.7,1.2,0.1,0.10%
Georgia,13,2000,2000,77,8186453,0.9,0.7,1.2,0.1,0.10%
Georgia,13,2001,2001,80,8377038,1,0.8,1.2,0.1,0.10%
Georgia,13,2002,2002,118,8508256,1.4,1.1,1.6,0.1,0.10%
Georgia,13,2003,2003,127,8622793,1.5,1.2,1.7,0.1,0.10%
Georgia,13,2004,2004,149,8769252,1.7,1.4,2,0.1,0.20%
Georgia,13,2005,2005,154,8925922,1.7,1.5,2,0.1,0.20%
Georgia,13,2006,2006,170,9155813,1.9,1.6,2.1,0.1,0.20%
Georgia,13,2007,2007,149,9349988,1.6,1.3,1.8,0.1,0.20%
Georgia,13,2008,2008,145,9504843,1.5,1.3,1.8,0.1,0.20%
Georgia,13,2009,2009,159,9620846,1.7,1.4,1.9,0.1,0.20%
Georgia,13,2010,2010,224,9687653,2.3,2,2.6,0.2,0.20%
Georgia,13,2011,2011,228,9811610,2.3,2,2.6,0.2,0.20%
Georgia,13,2012,2012,203,9914668,2,1.8,2.3,0.1,0.20%
Georgia,13,2013,2013,179,9984938,1.8,1.5,2.1,0.1,0.20%
Georgia,13,2014,2014,216,10087231,2.1,1.9,2.4,0.1,0.20%
Georgia,13,2015,2015,216,10199398,2.1,1.8,2.4,0.1,0.20%
Georgia,13,2016,2016,259,10310371,2.5,2.2,2.8,0.2,0.30%
Hawaii,15,1999,1999,Suppressed,1210300,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Hawaii,15,2000,2000,Suppressed,1211537,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Hawaii,15,2001,2001,Suppressed,1225948,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Hawaii,15,2002,2002,Suppressed,1239613,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Hawaii,15,2003,2003,16,1251154,1.3 (Unreliable),0.7,2.1,0.3,0.00%
Hawaii,15,2004,2004,14,1273569,1.1 (Unreliable),0.6,1.8,0.3,0.00%
Hawaii,15,2005,2005,Suppressed,1292729,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Hawaii,15,2006,2006,19,1309731,1.5 (Unreliable),0.9,2.3,0.3,0.00%
Hawaii,15,2007,2007,18,1315675,1.4 (Unreliable),0.8,2.2,0.3,0.00%
Hawaii,15,2008,2008,19,1332213,1.4 (Unreliable),0.9,2.2,0.3,0.00%
Hawaii,15,2009,2009,26,1346717,1.9,1.3,2.8,0.4,0.00%
Hawaii,15,2010,2010,19,1360301,1.4 (Unreliable),0.8,2.2,0.3,0.00%
Hawaii,15,2011,2011,18,1377864,1.3 (Unreliable),0.8,2.1,0.3,0.00%
Hawaii,15,2012,2012,13,1391820,0.9 (Unreliable),0.5,1.6,0.3,0.00%
Hawaii,15,2013,2013,23,1406481,1.6,1,2.5,0.3,0.00%
Hawaii,15,2014,2014,17,1416349,1.2 (Unreliable),0.7,1.9,0.3,0.00%
Hawaii,15,2015,2015,29,1425157,2,1.4,2.9,0.4,0.00%
Hawaii,15,2016,2016,19,1428557,1.3 (Unreliable),0.8,2.1,0.3,0.00%
Idaho,16,1999,1999,10,1275674,0.8 (Unreliable),0.4,1.4,0.2,0.00%
Idaho,16,2000,2000,Suppressed,1293953,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Idaho,16,2001,2001,13,1319962,1.0 (Unreliable),0.5,1.7,0.3,0.00%
Idaho,16,2002,2002,12,1340372,0.9 (Unreliable),0.5,1.6,0.3,0.00%
Idaho,16,2003,2003,18,1363380,1.3 (Unreliable),0.8,2.1,0.3,0.00%
Idaho,16,2004,2004,17,1391802,1.2 (Unreliable),0.7,2,0.3,0.00%
Idaho,16,2005,2005,23,1428241,1.6,1,2.4,0.3,0.00%
Idaho,16,2006,2006,23,1468669,1.6,1,2.3,0.3,0.00%
Idaho,16,2007,2007,21,1505105,1.4,0.9,2.1,0.3,0.00%
Idaho,16,2008,2008,39,1534320,2.5,1.8,3.5,0.4,0.00%
Idaho,16,2009,2009,38,1554439,2.4,1.7,3.4,0.4,0.00%
Idaho,16,2010,2010,35,1567582,2.2,1.6,3.1,0.4,0.00%
Idaho,16,2011,2011,43,1584143,2.7,2,3.7,0.4,0.00%
Idaho,16,2012,2012,24,1595911,1.5,1,2.2,0.3,0.00%
Idaho,16,2013,2013,34,1612011,2.1,1.5,2.9,0.4,0.00%
Idaho,16,2014,2014,35,1633532,2.1,1.5,3,0.4,0.00%
Idaho,16,2015,2015,36,1652828,2.2,1.5,3,0.4,0.00%
Idaho,16,2016,2016,47,1683140,2.8,2.1,3.7,0.4,0.10%
Illinois,17,1999,1999,82,12359020,0.7,0.5,0.8,0.1,0.10%
Illinois,17,2000,2000,103,12419293,0.8,0.7,1,0.1,0.10%
Illinois,17,2001,2001,119,12488445,1,0.8,1.1,0.1,0.10%
Illinois,17,2002,2002,155,12525556,1.2,1,1.4,0.1,0.20%
Illinois,17,2003,2003,137,12556006,1.1,0.9,1.3,0.1,0.10%
Illinois,17,2004,2004,141,12589773,1.1,0.9,1.3,0.1,0.20%
Illinois,17,2005,2005,135,12609903,1.1,0.9,1.3,0.1,0.10%
Illinois,17,2006,2006,135,12643955,1.1,0.9,1.2,0.1,0.10%
Illinois,17,2007,2007,136,12695866,1.1,0.9,1.3,0.1,0.10%
Illinois,17,2008,2008,158,12747038,1.2,1,1.4,0.1,0.20%
Illinois,17,2009,2009,187,12796778,1.5,1.3,1.7,0.1,0.20%
Illinois,17,2010,2010,207,12830632,1.6,1.4,1.8,0.1,0.20%
Illinois,17,2011,2011,178,12860012,1.4,1.2,1.6,0.1,0.20%
Illinois,17,2012,2012,192,12870798,1.5,1.3,1.7,0.1,0.20%
Illinois,17,2013,2013,214,12879505,1.7,1.4,1.9,0.1,0.20%
Illinois,17,2014,2014,264,12867544,2.1,1.8,2.3,0.1,0.30%
Illinois,17,2015,2015,277,12839047,2.2,1.9,2.4,0.1,0.30%
Illinois,17,2016,2016,279,12801539,2.2,1.9,2.4,0.1,0.30%
Indiana,18,1999,1999,75,6044969,1.2,1,1.6,0.1,0.10%
Indiana,18,2000,2000,66,6080485,1.1,0.8,1.4,0.1,0.10%
Indiana,18,2001,2001,80,6127760,1.3,1,1.6,0.1,0.10%
Indiana,18,2002,2002,91,6155967,1.5,1.2,1.8,0.2,0.10%
Indiana,18,2003,2003,103,6196638,1.7,1.3,2,0.2,0.10%
Indiana,18,2004,2004,97,6233007,1.6,1.3,1.9,0.2,0.10%
Indiana,18,2005,2005,126,6278616,2,1.7,2.4,0.2,0.10%
Indiana,18,2006,2006,123,6332669,1.9,1.6,2.3,0.2,0.10%
Indiana,18,2007,2007,135,6379599,2.1,1.8,2.5,0.2,0.10%
Indiana,18,2008,2008,141,6424806,2.2,1.8,2.6,0.2,0.20%
Indiana,18,2009,2009,141,6459325,2.2,1.8,2.5,0.2,0.20%
Indiana,18,2010,2010,131,6483802,2,1.7,2.4,0.2,0.10%
Indiana,18,2011,2011,153,6516480,2.3,2,2.7,0.2,0.20%
Indiana,18,2012,2012,155,6537743,2.4,2,2.7,0.2,0.20%
Indiana,18,2013,2013,174,6569102,2.6,2.3,3,0.2,0.20%
Indiana,18,2014,2014,207,6595233,3.1,2.7,3.6,0.2,0.20%
Indiana,18,2015,2015,201,6612768,3,2.6,3.5,0.2,0.20%
Indiana,18,2016,2016,195,6633053,2.9,2.5,3.4,0.2,0.20%
Iowa,19,1999,1999,24,2917634,0.8,0.5,1.2,0.2,0.00%
Iowa,19,2000,2000,22,2926324,0.8,0.5,1.1,0.2,0.00%
Iowa,19,2001,2001,18,2931997,0.6 (Unreliable),0.4,1,0.1,0.00%
Iowa,19,2002,2002,45,2934234,1.5,1.1,2.1,0.2,0.00%
Iowa,19,2003,2003,33,2941999,1.1,0.8,1.6,0.2,0.00%
Iowa,19,2004,2004,41,2953635,1.4,1,1.9,0.2,0.00%
Iowa,19,2005,2005,33,2964454,1.1,0.8,1.6,0.2,0.00%
Iowa,19,2006,2006,49,2982644,1.6,1.2,2.2,0.2,0.10%
Iowa,19,2007,2007,48,2999212,1.6,1.2,2.1,0.2,0.10%
Iowa,19,2008,2008,60,3016734,2,1.5,2.6,0.3,0.10%
Iowa,19,2009,2009,51,3032870,1.7,1.3,2.2,0.2,0.10%
Iowa,19,2010,2010,46,3046355,1.5,1.1,2,0.2,0.10%
Iowa,19,2011,2011,59,3065223,1.9,1.5,2.5,0.3,0.10%
Iowa,19,2012,2012,77,3076310,2.5,2,3.1,0.3,0.10%
Iowa,19,2013,2013,70,3091930,2.3,1.8,2.9,0.3,0.10%
Iowa,19,2014,2014,114,3108030,3.7,3,4.3,0.3,0.10%
Iowa,19,2015,2015,122,3121997,3.9,3.2,4.6,0.4,0.10%
Iowa,19,2016,2016,98,3134693,3.1,2.5,3.8,0.3,0.10%
Kansas,20,1999,1999,25,2678338,0.9,0.6,1.4,0.2,0.00%
Kansas,20,2000,2000,31,2688418,1.2,0.8,1.6,0.2,0.00%
Kansas,20,2001,2001,30,2702162,1.1,0.7,1.6,0.2,0.00%
Kansas,20,2002,2002,43,2713535,1.6,1.1,2.1,0.2,0.00%
Kansas,20,2003,2003,41,2723004,1.5,1.1,2,0.2,0.00%
Kansas,20,2004,2004,40,2734373,1.5,1,2,0.2,0.00%
Kansas,20,2005,2005,49,2745299,1.8,1.3,2.4,0.3,0.10%
Kansas,20,2006,2006,62,2762931,2.2,1.7,2.9,0.3,0.10%
Kansas,20,2007,2007,58,2783785,2.1,1.6,2.7,0.3,0.10%
Kansas,20,2008,2008,45,2808076,1.6,1.2,2.1,0.2,0.00%
Kansas,20,2009,2009,78,2832704,2.8,2.2,3.4,0.3,0.10%
Kansas,20,2010,2010,51,2853118,1.8,1.3,2.4,0.3,0.10%
Kansas,20,2011,2011,49,2869503,1.7,1.3,2.3,0.2,0.10%
Kansas,20,2012,2012,64,2885262,2.2,1.7,2.8,0.3,0.10%
Kansas,20,2013,2013,104,2892821,3.6,2.9,4.3,0.4,0.10%
Kansas,20,2014,2014,64,2899360,2.2,1.7,2.8,0.3,0.10%
Kansas,20,2015,2015,88,2906721,3,2.4,3.7,0.3,0.10%
Kansas,20,2016,2016,89,2907289,3.1,2.5,3.8,0.3,0.10%
Kentucky,21,1999,1999,42,4018053,1,0.8,1.4,0.2,0.00%
Kentucky,21,2000,2000,44,4041769,1.1,0.8,1.5,0.2,0.00%
Kentucky,21,2001,2001,49,4068132,1.2,0.9,1.6,0.2,0.10%
Kentucky,21,2002,2002,69,4089875,1.7,1.3,2.1,0.2,0.10%
Kentucky,21,2003,2003,74,4117170,1.8,1.4,2.3,0.2,0.10%
Kentucky,21,2004,2004,67,4146101,1.6,1.3,2.1,0.2,0.10%
Kentucky,21,2005,2005,90,4182742,2.2,1.7,2.6,0.2,0.10%
Kentucky,21,2006,2006,104,4219239,2.5,2,2.9,0.2,0.10%
Kentucky,21,2007,2007,91,4256672,2.1,1.7,2.6,0.2,0.10%
Kentucky,21,2008,2008,94,4289878,2.2,1.8,2.7,0.2,0.10%
Kentucky,21,2009,2009,111,4317074,2.6,2.1,3,0.2,0.10%
Kentucky,21,2010,2010,112,4339367,2.6,2.1,3.1,0.2,0.10%
Kentucky,21,2011,2011,113,4369354,2.6,2.1,3.1,0.2,0.10%
Kentucky,21,2012,2012,108,4384799,2.5,2,2.9,0.2,0.10%
Kentucky,21,2013,2013,116,4400477,2.6,2.2,3.1,0.2,0.10%
Kentucky,21,2014,2014,135,4413057,3.1,2.5,3.6,0.3,0.10%
Kentucky,21,2015,2015,124,4424611,2.8,2.3,3.3,0.3,0.10%
Kentucky,21,2016,2016,121,4436974,2.7,2.2,3.2,0.2,0.10%
Louisiana,22,1999,1999,68,4460811,1.5,1.2,1.9,0.2,0.10%
Louisiana,22,2000,2000,90,4468976,2,1.6,2.5,0.2,0.10%
Louisiana,22,2001,2001,81,4477875,1.8,1.4,2.2,0.2,0.10%
Louisiana,22,2002,2002,108,4497267,2.4,1.9,2.9,0.2,0.10%
Louisiana,22,2003,2003,87,4521042,1.9,1.5,2.4,0.2,0.10%
Louisiana,22,2004,2004,122,4552238,2.7,2.2,3.2,0.2,0.10%
Louisiana,22,2005,2005,99,4576628,2.2,1.8,2.6,0.2,0.10%
Louisiana,22,2006,2006,112,4302665,2.6,2.1,3.1,0.2,0.10%
Louisiana,22,2007,2007,94,4375581,2.1,1.7,2.6,0.2,0.10%
Louisiana,22,2008,2008,106,4435586,2.4,1.9,2.8,0.2,0.10%
Louisiana,22,2009,2009,107,4491648,2.4,1.9,2.8,0.2,0.10%
Louisiana,22,2010,2010,97,4533372,2.1,1.7,2.6,0.2,0.10%
Louisiana,22,2011,2011,106,4575404,2.3,1.9,2.8,0.2,0.10%
Louisiana,22,2012,2012,138,4603429,3,2.5,3.5,0.3,0.20%
Louisiana,22,2013,2013,143,4626402,3.1,2.6,3.6,0.3,0.20%
Louisiana,22,2014,2014,145,4647880,3.1,2.6,3.6,0.3,0.20%
